address, lat_address;long_address, lat_nearby1;long_nearby2, lat_nearby2;long_nearby2, lat_nearby3;long_nearby3
150 E. Dundee Road,42.13991313016765;-87.91243672370916,42.139306301042375;-87.95981109725857,42.094717788641915;-87.95317505301682,42.13960830699689;-88.01524109830522
805 Cannell-Puri Court,42.278564326664075;-89.24242191022131,42.28815663579016;-89.09907911719529,42.2283215639528;-89.07185965741783,42.26557140542666;-89.0384048464727
322 W Irving Park Rd,41.96469583041207;-87.98897852005211,41.93787872988775;-88.00291031599045,42.00563963220184;-87.96031057315008,41.932251;-87.9400855
1850 Memorial Lane,38.86818883734238;-90.06734015702176,38.90187788430495;-90.06056883934434,38.88348812253596;-90.12160553900853,38.889033388982156;-90.17642027651878
400 S Eastwood Dr,42.31036604284584;-88.43329583110062,42.23441777097565;-88.33621770143509,42.3456536208302;-88.27804996515624,42.23915001135752;-88.5837598760207
221 W. Veterans Parkway,41.65863050332449;-88.44791346413919,41.68507573984795;-88.38088591150962,41.71959686026458;-88.31917499031077,41.64715463380163;-88.59959266444594
1913 Sheridan Rd,42.459820634799634;-87.82470166683197,42.410466998625544;-87.85553865332352,42.557347984040355;-87.82571822404861,42.34981248851059;-87.87064678969722
620 E. Landmarks Blvd.,38.889033388982156;-90.17642027651878,38.9230439728635;-90.18021210972422,38.88348812253596;-90.12160553900853,38.86818883734238;-90.06734015702176
70 Homer Adams Pkwy,38.9230439728635;-90.18021210972422,38.889033388982156;-90.17642027651878,38.88348812253596;-90.12160553900853,38.90187788430495;-90.06056883934434
1530 W Algonquin Rd,42.05698610945212;-88.0022065249068,42.03453129614077;-87.94019766225945,42.094717788641915;-87.95317505301682,42.00759913329598;-88.0453160405159
2410 E Rand Rd,42.094717788641915;-87.95317505301682,42.139306301042375;-87.95981109725857,42.05698610945212;-88.0022065249068,42.13991313016765;-87.91243672370916
1000 N Farnsworth Ave,41.77801992857256;-88.28223516048638,41.78094868070382;-88.31737310280307,41.8174;-88.2795,41.763233344111775;-88.20053767738654
1204 N Lake St,41.78094868070382;-88.31737310280307,41.77801992857256;-88.28223516048638,41.76423127860434;-88.36881787331555,41.8174;-88.2795
1504 Mesa Lane,41.8174;-88.2795,41.77801992857256;-88.28223516048638,41.78094868070382;-88.31737310280307,41.848315666570855;-88.33955118792225
2140 West Galena Blvd,41.76423127860434;-88.36881787331555,41.8034;-88.37249,41.78094868070382;-88.31737310280307,41.71959686026458;-88.31917499031077
15 S 59th St,38.549910700142114;-90.03655582666397,38.59551236549604;-89.98568616812918,38.50279588107752;-89.98539463432274,38.6114420134671;-90.04803909645571
5 South Belt West,38.50279588107752;-89.98539463432274,38.5169644;-89.9518236,38.549910700142114;-90.03655582666397,38.5729136;-89.9315993
760 Carlyle Ave,38.5169644;-89.9518236,38.50279588107752;-89.98539463432274,38.5729136;-89.9315993,38.549910700142114;-90.03655582666397
1580 N State St,42.26989080349892;-88.85726469761721,42.24128017365028;-88.84560198338477,42.24581758097438;-88.97562892643603,42.24334950441524;-88.97923018507063
445 Southtown Drive,42.24128017365028;-88.84560198338477,42.26989080349892;-88.85726469761721,42.24581758097438;-88.97562892643603,42.24334950441524;-88.97923018507063
